,date,open,high,low,close,Adj Close,volume,DATE,Predicted
930,2017-09-12,174.0,171.75,173.75999450683594,172.9600067138672,11186300,172.9600067138672,2017-09-12,153.0882652282715
933,2017-09-15,172.33999633789062,170.25999450683594,170.8800048828125,171.63999938964844,15660500,171.63999938964844,2017-09-15,161.9427991739909
941,2017-09-27,168.33999633789062,165.57000732421875,165.89999389648438,167.67999267578125,19242500,167.67999267578125,2017-09-27,178.0596984354655
946,2017-10-04,170.6699981689453,168.2899932861328,169.8300018310547,168.4199981689453,12127900,168.4199981689453,2017-10-04,190.93919901529947
951,2017-10-11,172.77999877929688,171.39999389648438,171.9499969482422,172.74000549316406,11283700,172.74000549316406,2017-10-11,169.59702952067056
967,2017-11-02,181.94000244140625,177.33999633789062,180.6300048828125,178.9199981689453,35529900,178.9199981689453,2017-11-02,190.87042530186972
968,2017-11-03,179.86000061035156,176.7100067138672,179.2899932861328,178.9199981689453,17822100,178.9199981689453,2017-11-03,190.87042530186972
970,2017-11-07,180.75,178.9600067138672,180.5,180.25,12928200,180.25,2017-11-07,162.7467293802897
971,2017-11-08,180.35000610351562,179.11000061035156,179.7899932861328,179.55999755859375,10494100,179.55999755859375,2017-11-08,164.61596282958985
972,2017-11-09,179.39999389648438,177.08999633789062,178.30999755859375,179.3000030517578,12610300,179.3000030517578,2017-11-09,224.49099583943686
975,2017-11-14,178.97000122070312,177.17999267578125,178.1300048828125,178.07000732421875,9585900,178.07000732421875,2017-11-14,202.65116170247396
977,2017-11-16,179.8300018310547,178.5,178.75999450683594,179.58999633789062,15607600,179.58999633789062,2017-11-16,170.34996246337892
978,2017-11-17,179.97999572753906,178.89999389648438,179.3000030517578,179.0,13018000,179.0,2017-11-17,184.55935193634033
992,2017-12-08,182.27999877929688,178.74000549316406,181.52999877929688,179.0,19883800,179.0,2017-12-08,184.55935193634033
996,2017-12-14,180.36000061035156,177.67999267578125,178.2899932861328,178.38999938964844,13591000,178.38999938964844,2017-12-14,183.31736877441406
997,2017-12-15,180.49000549316406,178.36000061035156,179.02000427246094,180.17999267578125,28463100,180.17999267578125,2017-12-15,179.87656682332357
1002,2017-12-22,177.52999877929688,176.22999572753906,177.13999938964844,177.1999969482422,8509500,177.1999969482422,2017-12-22,185.00033686319986
1005,2017-12-28,178.94000244140625,177.67999267578125,177.9499969482422,177.9199981689453,12220800,177.9199981689453,2017-12-28,171.15716069539388
1008,2018-01-03,184.77999877929688,181.3300018310547,181.8800048828125,184.6699981689453,16886600,184.6699981689453,2018-01-03,188.54096338907877
1010,2018-01-05,186.89999389648438,184.92999267578125,185.58999633789062,186.85000610351562,13574500,186.85000610351562,2018-01-05,190.91513988240558
1011,2018-01-08,188.89999389648438,186.3300018310547,187.1999969482422,188.27999877929688,17994700,188.27999877929688,2018-01-08,204.04986170450846
1015,2018-01-12,181.47999572753906,177.39999389648438,178.05999755859375,179.3699951171875,77551300,179.3699951171875,2018-01-12,217.93719609578451
1016,2018-01-16,181.75,178.0399932861328,181.5,178.38999938964844,36183800,178.38999938964844,2018-01-16,183.31736877441406
1020,2018-01-22,185.38999938964844,180.41000366210938,180.8000030517578,185.3699951171875,21059500,185.3699951171875,2018-01-22,189.22047256469727
1023,2018-01-25,188.6199951171875,186.60000610351562,187.9499969482422,187.47999572753906,17377700,187.47999572753906,2018-01-25,177.62535900539825
1027,2018-01-31,189.8300018310547,185.22000122070312,188.3699951171875,186.88999938964844,43275100,186.88999938964844,2018-01-31,179.81290823364256
1032,2018-02-07,185.0800018310547,179.9499969482422,184.14999389648438,180.17999267578125,27601900,180.17999267578125,2018-02-07,179.87656682332357
1037,2018-02-14,179.80999755859375,173.2100067138672,173.4499969482422,179.52000427246094,28929700,179.52000427246094,2018-02-14,164.9560627746582
1038,2018-02-15,180.5,176.83999633789062,180.5,179.9600067138672,20922100,179.9600067138672,2018-02-15,197.2735654703776
