,date,open,high,low,close,Adj Close,volume,DATE,Predictions
1930,2021-09-01,85.13999938964844,85.13999938964844,83.91999816894531,84.0999984741211,81.69585418701172,4109000,2021-09-01,85.16406
1931,2021-09-02,84.19999694824219,84.94999694824219,84.12999725341797,84.54000091552734,82.123291015625,3471600,2021-09-02,84.55066
1932,2021-09-03,84.37999725341797,84.62999725341797,83.5,83.6500015258789,81.25872802734375,3300100,2021-09-03,84.782684
1933,2021-09-07,83.36000061035156,83.6500015258789,82.36000061035156,83.0,80.62731170654297,5701400,2021-09-07,84.109375
1934,2021-09-08,82.83000183105469,83.4800033569336,82.19999694824219,82.87000274658203,80.50102996826172,3911400,2021-09-08,83.32117
1935,2021-09-09,82.93000030517578,84.3499984741211,82.7300033569336,83.66000366210938,81.26844787597656,4521200,2021-09-09,83.00711
1936,2021-09-10,84.18000030517578,84.45999908447266,82.80000305175781,83.0,80.62731170654297,3893400,2021-09-10,83.71506
1937,2021-09-13,83.77999877929688,84.2300033569336,82.76000213623047,83.63999938964844,81.24900817871094,4768000,2021-09-13,83.40188
1938,2021-09-14,83.80000305175781,83.83999633789062,82.26000213623047,82.73999786376953,80.37474060058594,5253300,2021-09-14,83.85906
1939,2021-09-15,83.18000030517578,85.05999755859375,82.83000183105469,84.87000274658203,82.44384765625,5673400,2021-09-15,83.204315
1940,2021-09-16,84.94000244140625,85.12999725341797,83.87999725341797,84.0199966430664,81.6181411743164,5907500,2021-09-16,84.9146
1941,2021-09-17,83.58999633789062,84.01000213623047,82.37000274658203,83.38999938964844,81.00615692138672,23128700,2021-09-17,84.702255
1942,2021-09-20,81.9000015258789,83.5999984741211,81.5199966430664,83.44999694824219,81.06443786621094,8217100,2021-09-20,83.97481
1943,2021-09-21,83.68000030517578,84.1500015258789,82.66999816894531,83.11000061035156,80.73416137695312,5900300,2021-09-21,83.767
1944,2021-09-22,83.97000122070312,85.95999908447266,83.61000061035156,85.2699966430664,82.83240509033203,6233700,2021-09-22,83.44176
1945,2021-09-23,85.58000183105469,87.0,85.51000213623047,86.75,84.27009582519531,5906800,2021-09-23,85.340706
1946,2021-09-24,86.56999969482422,87.66999816894531,86.36000061035156,87.16000366210938,84.66839599609375,4665900,2021-09-24,87.27988
1947,2021-09-27,87.7300033569336,88.47000122070312,87.2300033569336,87.33999633789062,84.8432388305664,4162100,2021-09-27,88.09375
1948,2021-09-28,87.0999984741211,87.7300033569336,86.47000122070312,86.83999633789062,84.35752868652344,5781200,2021-09-28,88.32173
1949,2021-09-29,87.16999816894531,87.81999969482422,86.69000244140625,86.98999786376953,84.50324249267578,3612600,2021-09-29,87.81068
1950,2021-09-30,87.48999786376953,87.5,85.86000061035156,85.95999908447266,83.50269317626953,5642900,2021-09-30,87.7159
1951,2021-10-01,86.80000305175781,87.93000030517578,86.13999938964844,87.4800033569336,84.979248046875,5499500,2021-10-01,86.756035
1952,2021-10-04,87.0,88.0,86.43000030517578,87.69000244140625,85.1832275390625,5490600,2021-10-04,87.8226
1953,2021-10-05,88.0,89.48999786376953,87.7300033569336,88.72000122070312,86.18379211425781,4820500,2021-10-05,88.36897
1954,2021-10-06,88.19999694824219,89.4000015258789,87.44999694824219,89.2699966430664,86.71806335449219,4354100,2021-10-06,89.404655
1955,2021-10-07,89.88999938964844,90.62999725341797,89.75,90.1500015258789,87.57291412353516,3750900,2021-10-07,90.123184
1956,2021-10-08,90.30000305175781,90.83000183105469,89.73999786376953,90.62000274658203,88.02948760986328,3342700,2021-10-08,91.02273
1957,2021-10-11,90.72000122070312,91.37999725341797,89.83999633789062,89.88999938964844,87.3203353881836,3048000,2021-10-11,91.604225
1958,2021-10-12,89.61000061035156,90.55999755859375,89.16000366210938,89.72000122070312,87.15520477294922,3404100,2021-10-12,91.036125
1959,2021-10-13,89.80999755859375,90.0,88.31999969482422,89.68000030517578,87.11634826660156,3285500,2021-10-13,90.64371
1960,2021-10-14,90.31999969482422,90.47000122070312,89.11000061035156,89.16999816894531,86.62093353271484,4225300,2021-10-14,90.470665
1961,2021-10-15,89.8499984741211,91.29000091552734,89.66999816894531,90.91999816894531,88.32089233398438,4581600,2021-10-15,89.977776
1962,2021-10-18,90.0999984741211,91.12000274658203,89.31999969482422,90.80000305175781,88.20433807373047,3898700,2021-10-18,91.388916
1963,2021-10-19,90.9800033569336,91.48999786376953,90.44999694824219,91.2300033569336,88.62205505371094,4195100,2021-10-19,91.694244
1964,2021-10-20,90.69000244140625,91.91000366210938,90.08000183105469,91.68000030517578,89.0591812133789,3916600,2021-10-20,92.10824
1965,2021-10-21,91.33000183105469,91.66999816894531,90.58000183105469,91.61000061035156,88.99117279052734,4274900,2021-10-21,92.56068
1966,2021-10-22,91.66999816894531,92.31999969482422,91.18000030517578,91.86000061035156,89.2340316772461,4160800,2021-10-22,92.58059
1967,2021-10-25,91.66999816894531,91.9800033569336,90.69999694824219,91.30000305175781,88.69003295898438,5953900,2021-10-25,92.7599
1968,2021-10-26,88.29000091552734,91.19000244140625,87.0,89.16000366210938,86.61121368408203,9122500,2021-10-26,92.28939
1969,2021-10-27,89.1500015258789,90.55999755859375,88.69000244140625,89.16000366210938,86.61121368408203,4273200,2021-10-27,90.26729
1970,2021-10-28,89.36000061035156,89.80999755859375,88.73999786376953,89.19000244140625,86.64035034179688,4179900,2021-10-28,89.66037
1971,2021-10-29,89.05999755859375,89.76000213623047,88.51000213623047,88.86000061035156,86.31978607177734,5202300,2021-10-29,89.61208
1972,2021-11-01,88.91000366210938,89.19000244140625,87.95999908447266,88.55000305175781,86.0186538696289,4588800,2021-11-01,89.39949
1973,2021-11-02,88.52999877929688,88.80999755859375,87.19999694824219,87.80000305175781,85.29009246826172,4554100,2021-11-02,89.10568
1974,2021-11-03,87.0199966430664,88.79000091552734,86.94999694824219,88.66999816894531,86.13521575927734,4148500,2021-11-03,88.38893
1975,2021-11-04,88.33999633789062,89.08999633789062,87.76000213623047,88.05999755859375,85.54265594482422,3711700,2021-11-04,88.98344
1976,2021-11-05,89.7699966430664,91.2300033569336,89.05999755859375,91.18000030517578,88.57347869873047,4330400,2021-11-05,88.68346
1977,2021-11-08,91.30999755859375,91.66999816894531,90.30999755859375,90.70999908447266,88.11690521240234,4469100,2021-11-08,91.385056
1978,2021-11-09,90.70999908447266,91.06999969482422,89.97000122070312,90.98999786376953,88.38890075683594,3372900,2021-11-09,91.72186
1979,2021-11-10,91.0199966430664,91.44000244140625,90.13999938964844,90.18000030517578,87.60205078125,3503200,2021-11-10,91.97466
1980,2021-11-11,90.08000183105469,90.41999816894531,88.69000244140625,89.05000305175781,86.50435638427734,4993600,2021-11-11,91.24526
1981,2021-11-12,89.18000030517578,89.25,88.62000274658203,88.86000061035156,86.31978607177734,3273100,2021-11-12,89.99827
1982,2021-11-15,89.62999725341797,89.62999725341797,88.83999633789062,89.3499984741211,86.79578399658203,3423100,2021-11-15,89.46695
1983,2021-11-16,89.2699966430664,89.81999969482422,88.80999755859375,88.9000015258789,86.35865020751953,4746200,2021-11-16,89.81367
1984,2021-11-17,88.76000213623047,89.05000305175781,87.19000244140625,87.44999694824219,84.95008850097656,3910600,2021-11-17,89.57995
1985,2021-11-18,87.19000244140625,87.79000091552734,86.33999633789062,86.91000366210938,84.92078399658203,4376300,2021-11-18,88.24228
1986,2021-11-19,86.25,86.25,85.05999755859375,85.43000030517578,83.47465515136719,5478200,2021-11-19,87.36783
